,year,month,Purchase amount,Purchase quantity
252,2011,1,86,41
253,2011,2,87,41
254,2011,3,84,41
255,2011,4,62,31
256,2011,5,48,23
257,2011,6,26,10
258,2011,7,24,8
259,2011,8,60,22
260,2011,9,96,46
261,2011,10,106,54
262,2011,11,91,46
263,2011,12,183,76
264,2012,1,76,34
265,2012,2,83,39
266,2012,3,86,38
267,2012,4,57,24
268,2012,5,41,17
269,2012,6,23,7
270,2012,7,22,7
271,2012,8,50,18
272,2012,9,97,48
273,2012,10,107,53
274,2012,11,96,50
275,2012,12,174,85
276,2013,1,79,39
277,2013,2,85,43
278,2013,3,87,46
279,2013,4,63,35
280,2013,5,50,25
281,2013,6,29,12
282,2013,7,33,12
283,2013,8,58,24
284,2013,9,106,51
285,2013,10,124,64
286,2013,11,127,57
287,2013,12,233,107
288,2014,1,100,46
289,2014,2,92,42
290,2014,3,100,49
291,2014,4,71,31
292,2014,5,45,18
293,2014,6,25,9
294,2014,7,28,9
295,2014,8,68,25
296,2014,9,119,50
297,2014,10,113,57
298,2014,11,104,46
299,2014,12,197,79
300,2015,1,86,38
301,2015,2,92,37
302,2015,3,94,37
303,2015,4,59,21
304,2015,5,39,12
305,2015,6,20,6
306,2015,7,31,8
307,2015,8,68,22
308,2015,9,121,46
309,2015,10,120,51
310,2015,11,106,46
311,2015,12,193,73
312,2016,1,85,34
313,2016,2,103,37
314,2016,3,104,38
315,2016,4,63,21
316,2016,5,45,13
317,2016,6,24,7
318,2016,7,30,8
319,2016,8,71,24
320,2016,9,125,48
321,2016,10,135,53
322,2016,11,123,54
323,2016,12,197,73
324,2017,1,90,33
325,2017,2,103,41
326,2017,3,99,39
327,2017,4,65,26
328,2017,5,47,18
329,2017,6,30,9
330,2017,7,28,9
331,2017,8,71,24
332,2017,9,120,50
333,2017,10,121,54
334,2017,11,130,58
335,2017,12,206,81
