,year,month,Purchase amount,Purchase quantity
252,2011,1,36,11
253,2011,2,36,13
254,2011,3,58,20
255,2011,4,209,107
256,2011,5,104,58
257,2011,6,54,23
258,2011,7,43,15
259,2011,8,39,12
260,2011,9,37,15
261,2011,10,38,13
262,2011,11,36,12
263,2011,12,115,33
264,2012,1,36,12
265,2012,2,38,13
266,2012,3,74,27
267,2012,4,217,122
268,2012,5,81,48
269,2012,6,46,19
270,2012,7,38,12
271,2012,8,37,12
272,2012,9,38,13
273,2012,10,40,13
274,2012,11,32,13
275,2012,12,116,33
276,2013,1,32,12
277,2013,2,35,12
278,2013,3,81,25
279,2013,4,210,118
280,2013,5,79,35
281,2013,6,45,24
282,2013,7,29,11
283,2013,8,33,11
284,2013,9,34,9
285,2013,10,34,10
286,2013,11,34,10
287,2013,12,125,30
288,2014,1,33,11
289,2014,2,34,13
290,2014,3,67,19
291,2014,4,230,107
292,2014,5,81,49
293,2014,6,45,22
294,2014,7,28,10
295,2014,8,33,9
296,2014,9,34,11
297,2014,10,36,8
298,2014,11,34,10
299,2014,12,121,26
300,2015,1,32,10
301,2015,2,34,9
302,2015,3,76,21
303,2015,4,253,110
304,2015,5,86,38
305,2015,6,45,17
306,2015,7,31,9
307,2015,8,34,8
308,2015,9,31,9
309,2015,10,34,10
310,2015,11,30,9
311,2015,12,142,29
312,2016,1,31,10
313,2016,2,38,9
314,2016,3,93,26
315,2016,4,241,125
316,2016,5,73,30
317,2016,6,38,14
318,2016,7,30,9
319,2016,8,32,8
320,2016,9,36,9
321,2016,10,34,10
322,2016,11,31,9
323,2016,12,127,25
324,2017,1,33,8
325,2017,2,35,9
326,2017,3,57,17
327,2017,4,203,82
328,2017,5,95,45
329,2017,6,53,31
330,2017,7,26,8
331,2017,8,33,9
332,2017,9,31,7
333,2017,10,29,8
334,2017,11,29,10
335,2017,12,120,25
