,year,month,Purchase amount,Purchase quantity
252,2011,1,189,394
253,2011,2,235,414
254,2011,3,260,513
255,2011,4,249,535
256,2011,5,203,590
257,2011,6,167,516
258,2011,7,193,409
259,2011,8,182,522
260,2011,9,214,541
261,2011,10,234,502
262,2011,11,174,488
263,2011,12,159,445
264,2012,1,231,384
265,2012,2,271,449
266,2012,3,309,546
267,2012,4,293,500
268,2012,5,275,546
269,2012,6,198,564
270,2012,7,157,455
271,2012,8,159,463
272,2012,9,165,521
273,2012,10,163,572
274,2012,11,151,517
275,2012,12,172,468
276,2013,1,229,436
277,2013,2,238,469
278,2013,3,242,525
279,2013,4,259,539
280,2013,5,239,606
281,2013,6,181,520
282,2013,7,210,443
283,2013,8,198,464
284,2013,9,232,525
285,2013,10,235,541
286,2013,11,241,466
287,2013,12,254,422
288,2014,1,272,395
289,2014,2,264,472
290,2014,3,262,556
291,2014,4,275,587
292,2014,5,264,574
293,2014,6,199,504
294,2014,7,191,492
295,2014,8,225,490
296,2014,9,293,467
297,2014,10,272,544
298,2014,11,170,492
299,2014,12,184,444
300,2015,1,241,441
301,2015,2,245,510
302,2015,3,256,634
303,2015,4,313,506
304,2015,5,345,510
305,2015,6,237,518
306,2015,7,223,454
307,2015,8,259,454
308,2015,9,314,486
309,2015,10,333,504
310,2015,11,223,489
311,2015,12,173,497
312,2016,1,190,540
313,2016,2,208,570
314,2016,3,245,613
315,2016,4,288,503
316,2016,5,302,544
317,2016,6,234,486
318,2016,7,213,509
319,2016,8,202,547
320,2016,9,233,526
321,2016,10,326,481
322,2016,11,339,428
323,2016,12,260,430
324,2017,1,251,439
325,2017,2,259,454
326,2017,3,291,526
327,2017,4,318,531
328,2017,5,285,576
329,2017,6,208,503
330,2017,7,178,498
331,2017,8,201,449
332,2017,9,251,498
333,2017,10,230,627
334,2017,11,252,514
335,2017,12,292,422
