,year,month,Purchase amount,Purchase quantity
252,2011,1,287,173
253,2011,2,260,144
254,2011,3,256,153
255,2011,4,196,129
256,2011,5,191,107
257,2011,6,189,94
258,2011,7,208,89
259,2011,8,213,91
260,2011,9,235,115
261,2011,10,279,169
262,2011,11,240,186
263,2011,12,307,253
264,2012,1,277,157
265,2012,2,268,158
266,2012,3,249,135
267,2012,4,200,116
268,2012,5,186,95
269,2012,6,185,87
270,2012,7,191,85
271,2012,8,191,84
272,2012,9,216,109
273,2012,10,266,155
274,2012,11,270,168
275,2012,12,344,273
276,2013,1,294,160
277,2013,2,255,161
278,2013,3,221,142
279,2013,4,186,117
280,2013,5,185,98
281,2013,6,190,90
282,2013,7,208,88
283,2013,8,218,93
284,2013,9,241,116
285,2013,10,281,162
286,2013,11,307,183
287,2013,12,360,226
288,2014,1,289,170
289,2014,2,264,146
290,2014,3,251,150
291,2014,4,194,116
292,2014,5,191,95
293,2014,6,197,83
294,2014,7,190,83
295,2014,8,217,95
296,2014,9,246,122
297,2014,10,260,167
298,2014,11,258,180
299,2014,12,336,225
300,2015,1,286,183
301,2015,2,259,170
302,2015,3,240,155
303,2015,4,214,117
304,2015,5,229,91
305,2015,6,213,78
306,2015,7,224,84
307,2015,8,240,92
308,2015,9,273,120
309,2015,10,310,168
310,2015,11,273,179
311,2015,12,335,204
312,2016,1,301,174
313,2016,2,286,163
314,2016,3,249,143
315,2016,4,209,107
316,2016,5,222,86
317,2016,6,214,80
318,2016,7,224,86
319,2016,8,219,87
320,2016,9,246,103
321,2016,10,334,153
322,2016,11,335,178
323,2016,12,386,205
324,2017,1,325,166
325,2017,2,280,155
326,2017,3,267,150
327,2017,4,224,118
328,2017,5,212,95
329,2017,6,203,81
330,2017,7,206,82
331,2017,8,222,85
332,2017,9,255,116
333,2017,10,304,161
334,2017,11,346,179
335,2017,12,417,236
