,year,month,Purchase amount,Purchase quantity
252,2011,1,86,81
253,2011,2,96,96
254,2011,3,87,74
255,2011,4,78,62
256,2011,5,55,47
257,2011,6,43,38
258,2011,7,42,31
259,2011,8,74,63
260,2011,9,105,106
261,2011,10,99,97
262,2011,11,88,113
263,2011,12,106,103
264,2012,1,92,84
265,2012,2,112,107
266,2012,3,94,88
267,2012,4,73,65
268,2012,5,55,49
269,2012,6,43,39
270,2012,7,42,30
271,2012,8,66,55
272,2012,9,95,104
273,2012,10,101,119
274,2012,11,86,100
275,2012,12,103,105
276,2013,1,81,88
277,2013,2,91,99
278,2013,3,86,95
279,2013,4,71,80
280,2013,5,52,49
281,2013,6,39,41
282,2013,7,46,40
283,2013,8,72,66
284,2013,9,104,113
285,2013,10,111,124
286,2013,11,87,87
287,2013,12,108,118
288,2014,1,87,80
289,2014,2,96,103
290,2014,3,84,89
291,2014,4,67,69
292,2014,5,55,50
293,2014,6,38,33
294,2014,7,45,35
295,2014,8,68,58
296,2014,9,97,100
297,2014,10,109,114
298,2014,11,97,110
299,2014,12,117,116
300,2015,1,92,87
301,2015,2,112,105
302,2015,3,103,91
303,2015,4,79,67
304,2015,5,60,47
305,2015,6,50,33
306,2015,7,54,36
307,2015,8,82,55
308,2015,9,121,104
309,2015,10,117,112
310,2015,11,93,83
311,2015,12,117,97
312,2016,1,103,95
313,2016,2,117,101
314,2016,3,91,74
315,2016,4,75,59
316,2016,5,56,38
317,2016,6,46,35
318,2016,7,50,35
319,2016,8,74,55
320,2016,9,107,102
321,2016,10,118,113
322,2016,11,102,94
323,2016,12,118,103
324,2017,1,95,84
325,2017,2,116,106
326,2017,3,107,110
327,2017,4,81,84
328,2017,5,62,61
329,2017,6,48,41
330,2017,7,46,35
331,2017,8,68,60
332,2017,9,94,97
333,2017,10,107,98
334,2017,11,104,91
335,2017,12,113,106
