,year,month,Purchase amount,Purchase quantity
252,2011,1,87,53
253,2011,2,91,52
254,2011,3,97,53
255,2011,4,86,43
256,2011,5,84,43
257,2011,6,77,40
258,2011,7,68,35
259,2011,8,70,38
260,2011,9,95,53
261,2011,10,105,67
262,2011,11,100,62
263,2011,12,152,90
264,2012,1,94,49
265,2012,2,101,55
266,2012,3,100,49
267,2012,4,93,44
268,2012,5,88,44
269,2012,6,78,39
270,2012,7,66,34
271,2012,8,65,33
272,2012,9,87,50
273,2012,10,110,66
274,2012,11,105,69
275,2012,12,157,97
276,2013,1,94,56
277,2013,2,94,51
278,2013,3,93,54
279,2013,4,85,55
280,2013,5,77,44
281,2013,6,69,43
282,2013,7,61,35
283,2013,8,65,40
284,2013,9,91,55
285,2013,10,103,62
286,2013,11,101,70
287,2013,12,160,100
288,2014,1,94,50
289,2014,2,96,53
290,2014,3,92,47
291,2014,4,88,42
292,2014,5,84,37
293,2014,6,72,36
294,2014,7,62,30
295,2014,8,72,34
296,2014,9,100,55
297,2014,10,100,55
298,2014,11,99,63
299,2014,12,161,91
300,2015,1,93,55
301,2015,2,97,53
302,2015,3,102,56
303,2015,4,91,49
304,2015,5,82,43
305,2015,6,79,38
306,2015,7,70,33
307,2015,8,77,37
308,2015,9,100,53
309,2015,10,102,57
310,2015,11,91,52
311,2015,12,160,86
312,2016,1,96,49
313,2016,2,101,53
314,2016,3,100,50
315,2016,4,85,43
316,2016,5,82,40
317,2016,6,73,33
318,2016,7,66,31
319,2016,8,72,35
320,2016,9,95,47
321,2016,10,108,58
322,2016,11,99,52
323,2016,12,163,76
324,2017,1,96,43
325,2017,2,95,43
326,2017,3,98,43
327,2017,4,87,42
328,2017,5,81,35
329,2017,6,80,36
330,2017,7,60,27
331,2017,8,72,35
332,2017,9,96,49
333,2017,10,100,51
334,2017,11,113,70
335,2017,12,157,81
