,year,month,Purchase amount,Purchase quantity
252,2011,1,295,388
253,2011,2,309,432
254,2011,3,375,471
255,2011,4,374,528
256,2011,5,314,559
257,2011,6,212,441
258,2011,7,166,321
259,2011,8,179,337
260,2011,9,212,395
261,2011,10,245,469
262,2011,11,226,432
263,2011,12,226,408
264,2012,1,240,419
265,2012,2,255,462
266,2012,3,295,483
267,2012,4,328,488
268,2012,5,306,520
269,2012,6,223,394
270,2012,7,208,303
271,2012,8,241,346
272,2012,9,255,450
273,2012,10,244,476
274,2012,11,213,447
275,2012,12,217,418
276,2013,1,229,445
277,2013,2,241,453
278,2013,3,292,494
279,2013,4,310,571
280,2013,5,257,537
281,2013,6,204,438
282,2013,7,181,360
283,2013,8,208,337
284,2013,9,245,416
285,2013,10,269,461
286,2013,11,249,407
287,2013,12,269,408
288,2014,1,290,414
289,2014,2,308,440
290,2014,3,366,509
291,2014,4,375,524
292,2014,5,335,529
293,2014,6,261,413
294,2014,7,219,354
295,2014,8,255,376
296,2014,9,285,444
297,2014,10,277,498
298,2014,11,239,455
299,2014,12,246,436
300,2015,1,260,440
301,2015,2,279,476
302,2015,3,337,527
303,2015,4,375,578
304,2015,5,349,520
305,2015,6,288,433
306,2015,7,262,337
307,2015,8,298,376
308,2015,9,310,493
309,2015,10,289,525
310,2015,11,248,479
311,2015,12,244,483
312,2016,1,250,487
313,2016,2,274,512
314,2016,3,321,560
315,2016,4,321,575
316,2016,5,293,506
317,2016,6,259,397
318,2016,7,282,355
319,2016,8,332,378
320,2016,9,365,516
321,2016,10,314,551
322,2016,11,255,482
323,2016,12,245,459
324,2017,1,252,443
325,2017,2,271,463
326,2017,3,322,491
327,2017,4,369,525
328,2017,5,329,522
329,2017,6,236,408
330,2017,7,207,337
331,2017,8,225,374
332,2017,9,245,479
333,2017,10,237,496
334,2017,11,234,484
335,2017,12,243,467
