,year,month,Purchase amount,Purchase quantity
252,2011,1,212,114
253,2011,2,252,142
254,2011,3,218,164
255,2011,4,175,117
256,2011,5,148,95
257,2011,6,140,74
258,2011,7,102,44
259,2011,8,94,36
260,2011,9,118,38
261,2011,10,203,92
262,2011,11,204,147
263,2011,12,196,117
264,2012,1,223,100
265,2012,2,250,128
266,2012,3,247,154
267,2012,4,195,123
268,2012,5,161,89
269,2012,6,144,80
270,2012,7,104,48
271,2012,8,92,35
272,2012,9,112,41
273,2012,10,190,90
274,2012,11,199,122
275,2012,12,223,105
276,2013,1,256,119
277,2013,2,252,151
278,2013,3,217,153
279,2013,4,171,104
280,2013,5,175,103
281,2013,6,132,71
282,2013,7,104,43
283,2013,8,95,39
284,2013,9,114,37
285,2013,10,194,90
286,2013,11,185,84
287,2013,12,238,109
288,2014,1,243,115
289,2014,2,239,132
290,2014,3,229,148
291,2014,4,170,100
292,2014,5,175,93
293,2014,6,149,73
294,2014,7,116,46
295,2014,8,102,36
296,2014,9,150,51
297,2014,10,202,102
298,2014,11,197,118
299,2014,12,225,120
300,2015,1,251,109
301,2015,2,265,138
302,2015,3,244,145
303,2015,4,187,90
304,2015,5,200,95
305,2015,6,154,70
306,2015,7,119,46
307,2015,8,98,32
308,2015,9,141,47
309,2015,10,220,101
310,2015,11,198,129
311,2015,12,195,109
312,2016,1,204,100
313,2016,2,247,122
314,2016,3,218,115
315,2016,4,194,102
316,2016,5,189,89
317,2016,6,158,73
318,2016,7,115,48
319,2016,8,104,39
320,2016,9,128,39
321,2016,10,195,66
322,2016,11,240,101
323,2016,12,250,118
324,2017,1,237,116
325,2017,2,249,135
326,2017,3,222,139
327,2017,4,191,106
328,2017,5,166,90
329,2017,6,147,68
330,2017,7,107,49
331,2017,8,86,31
332,2017,9,125,46
333,2017,10,184,90
334,2017,11,160,57
335,2017,12,221,69
