,year,month,Purchase amount,Purchase quantity
252,2011,1,92,189
253,2011,2,95,196
254,2011,3,98,198
255,2011,4,98,203
256,2011,5,93,194
257,2011,6,90,187
258,2011,7,84,179
259,2011,8,85,176
260,2011,9,94,196
261,2011,10,100,211
262,2011,11,88,193
263,2011,12,86,189
264,2012,1,98,210
265,2012,2,100,221
266,2012,3,105,231
267,2012,4,100,215
268,2012,5,94,203
269,2012,6,84,189
270,2012,7,81,176
271,2012,8,76,167
272,2012,9,82,186
273,2012,10,85,189
274,2012,11,83,180
275,2012,12,86,186
276,2013,1,91,200
277,2013,2,87,192
278,2013,3,89,201
279,2013,4,88,199
280,2013,5,83,188
281,2013,6,77,185
282,2013,7,76,171
283,2013,8,74,167
284,2013,9,87,191
285,2013,10,88,194
286,2013,11,86,195
287,2013,12,85,192
288,2014,1,88,198
289,2014,2,85,196
290,2014,3,89,204
291,2014,4,89,197
292,2014,5,85,185
293,2014,6,81,184
294,2014,7,77,172
295,2014,8,80,170
296,2014,9,96,216
297,2014,10,89,199
298,2014,11,79,174
299,2014,12,80,178
300,2015,1,87,199
301,2015,2,86,190
302,2015,3,89,195
303,2015,4,96,211
304,2015,5,94,208
305,2015,6,86,179
306,2015,7,81,170
307,2015,8,79,166
308,2015,9,90,195
309,2015,10,89,195
310,2015,11,78,169
311,2015,12,77,166
312,2016,1,83,172
313,2016,2,86,185
314,2016,3,91,196
315,2016,4,87,192
316,2016,5,85,185
317,2016,6,80,170
318,2016,7,74,161
319,2016,8,72,152
320,2016,9,80,167
321,2016,10,98,214
322,2016,11,97,210
323,2016,12,87,185
324,2017,1,86,195
325,2017,2,83,175
326,2017,3,91,195
327,2017,4,91,200
328,2017,5,86,184
329,2017,6,81,173
330,2017,7,76,168
331,2017,8,76,160
332,2017,9,84,180
333,2017,10,86,189
334,2017,11,91,198
335,2017,12,93,196
