,year,month,Purchase amount,Purchase quantity
252,2011,1,128,414
253,2011,2,144,376
254,2011,3,150,398
255,2011,4,134,361
256,2011,5,110,358
257,2011,6,100,268
258,2011,7,101,230
259,2011,8,118,304
260,2011,9,169,342
261,2011,10,254,519
262,2011,11,168,516
263,2011,12,158,490
264,2012,1,146,381
265,2012,2,162,374
266,2012,3,155,284
267,2012,4,147,272
268,2012,5,130,299
269,2012,6,106,280
270,2012,7,96,250
271,2012,8,99,247
272,2012,9,148,376
273,2012,10,194,521
274,2012,11,168,538
275,2012,12,166,455
276,2013,1,149,352
277,2013,2,155,385
278,2013,3,138,376
279,2013,4,124,377
280,2013,5,116,317
281,2013,6,96,267
282,2013,7,97,229
283,2013,8,111,249
284,2013,9,187,346
285,2013,10,239,503
286,2013,11,224,530
287,2013,12,208,529
288,2014,1,164,409
289,2014,2,159,420
290,2014,3,144,394
291,2014,4,126,348
292,2014,5,129,318
293,2014,6,102,281
294,2014,7,99,267
295,2014,8,118,242
296,2014,9,216,414
297,2014,10,222,564
298,2014,11,165,554
299,2014,12,151,477
300,2015,1,140,361
301,2015,2,150,407
302,2015,3,144,384
303,2015,4,142,295
304,2015,5,149,290
305,2015,6,116,281
306,2015,7,114,224
307,2015,8,135,240
308,2015,9,226,442
309,2015,10,246,568
310,2015,11,168,555
311,2015,12,150,532
312,2016,1,126,417
313,2016,2,141,429
314,2016,3,135,351
315,2016,4,138,305
316,2016,5,129,282
317,2016,6,111,260
318,2016,7,106,208
319,2016,8,117,221
320,2016,9,187,314
321,2016,10,260,460
322,2016,11,247,449
323,2016,12,202,470
324,2017,1,162,384
325,2017,2,153,403
326,2017,3,149,393
327,2017,4,146,347
328,2017,5,130,305
329,2017,6,104,243
330,2017,7,99,249
331,2017,8,116,265
332,2017,9,180,409
333,2017,10,201,557
334,2017,11,204,454
335,2017,12,248,481
